Connecting to host 192.168.2.3, port 5201
[  5] local 192.168.1.3 port 35202 connected to 192.168.2.3 port 5201
[  5] 184.00-185.00 sec   840 MBytes  7.05 Gbits/sec    0   1.98 MBytes       
[  5] 185.00-186.00 sec   837 MBytes  7.02 Gbits/sec    0   1.98 MBytes       
[  5] 186.00-187.00 sec   835 MBytes  7.01 Gbits/sec    0   1.98 MBytes       
[  5] 187.00-188.00 sec   850 MBytes  7.13 Gbits/sec    0   1.98 MBytes       
[  5] 188.00-189.00 sec   834 MBytes  7.00 Gbits/sec    0   1.98 MBytes       
[  5] 189.00-190.00 sec   807 MBytes  6.77 Gbits/sec    0   1.98 MBytes       
[  5] 190.00-191.00 sec   816 MBytes  6.85 Gbits/sec    0   1.98 MBytes       
[  5] 191.00-192.00 sec   718 MBytes  6.02 Gbits/sec    0   1.98 MBytes       
[  5] 192.00-193.00 sec   728 MBytes  6.11 Gbits/sec    0   1.98 MBytes       
[  5] 193.00-194.00 sec   811 MBytes  6.80 Gbits/sec    0   1.98 MBytes       
[  5] 194.00-195.00 sec   738 MBytes  6.19 Gbits/sec    0   1.98 MBytes       
[  5] 195.00-196.00 sec   728 MBytes  6.10 Gbits/sec    0   1.98 MBytes       
[  5] 196.00-197.00 sec   656 MBytes  5.50 Gbits/sec    0   1.98 MBytes       
[  5] 197.00-198.00 sec   672 MBytes  5.64 Gbits/sec    0   1.98 MBytes       
[  5] 198.00-199.00 sec   824 MBytes  6.91 Gbits/sec    0   1.98 MBytes       
[  5] 199.00-200.00 sec   807 MBytes  6.77 Gbits/sec    0   1.98 MBytes       
[  5] 200.00-201.00 sec   857 MBytes  7.19 Gbits/sec    0   1.98 MBytes       
[  5] 201.00-202.00 sec   801 MBytes  6.72 Gbits/sec    0   1.98 MBytes       
[  5] 202.00-203.00 sec   842 MBytes  7.06 Gbits/sec    0   1.98 MBytes       
[  5] 203.00-204.00 sec   814 MBytes  6.83 Gbits/sec    0   1.98 MBytes       
[  5] 204.00-205.00 sec   819 MBytes  6.87 Gbits/sec    0   1.98 MBytes       
[  5] 205.00-206.00 sec   729 MBytes  6.11 Gbits/sec    0   1.98 MBytes       
[  5] 206.00-207.00 sec   815 MBytes  6.84 Gbits/sec    0   1.98 MBytes       
[  5] 207.00-208.00 sec   787 MBytes  6.60 Gbits/sec    0   1.98 MBytes       
[  5] 208.00-209.00 sec   723 MBytes  6.07 Gbits/sec    0   1.98 MBytes       
[  5] 209.00-210.00 sec   806 MBytes  6.77 Gbits/sec    0   1.98 MBytes       
[  5] 210.00-211.00 sec   814 MBytes  6.82 Gbits/sec    0   1.98 MBytes       
[  5] 211.00-212.00 sec   810 MBytes  6.80 Gbits/sec    0   1.98 MBytes       
[  5] 212.00-213.00 sec   755 MBytes  6.34 Gbits/sec    0   1.98 MBytes       
[  5] 213.00-214.00 sec   784 MBytes  6.57 Gbits/sec    0   1.98 MBytes       
[  5] 214.00-215.00 sec   756 MBytes  6.34 Gbits/sec    0   1.98 MBytes       
[  5] 215.00-216.00 sec   847 MBytes  7.11 Gbits/sec    0   1.98 MBytes       
[  5] 216.00-217.00 sec   810 MBytes  6.79 Gbits/sec    0   1.98 MBytes       
[  5] 217.00-218.00 sec   802 MBytes  6.72 Gbits/sec    0   1.98 MBytes       
[  5] 218.00-219.00 sec   531 MBytes  4.46 Gbits/sec    0   1.98 MBytes       
[  5] 219.00-220.00 sec   671 MBytes  5.63 Gbits/sec    0   1.98 MBytes       
[  5] 220.00-221.00 sec   706 MBytes  5.93 Gbits/sec    0   1.98 MBytes       
[  5] 221.00-222.00 sec   812 MBytes  6.81 Gbits/sec    0   1.98 MBytes       
[  5] 222.00-223.00 sec   792 MBytes  6.64 Gbits/sec    0   1.98 MBytes       
[  5] 223.00-224.00 sec   739 MBytes  6.20 Gbits/sec    0   1.98 MBytes       
[  5] 224.00-225.00 sec   799 MBytes  6.71 Gbits/sec    0   1.98 MBytes       
[  5] 225.00-226.00 sec   791 MBytes  6.64 Gbits/sec    0   1.98 MBytes       
[  5] 226.00-227.00 sec   840 MBytes  7.05 Gbits/sec    0   1.98 MBytes       
[  5] 227.00-228.00 sec   833 MBytes  6.99 Gbits/sec    0   1.98 MBytes       
[  5] 228.00-229.00 sec   835 MBytes  7.00 Gbits/sec    0   1.98 MBytes       
[  5] 229.00-230.00 sec   717 MBytes  6.02 Gbits/sec    0   1.98 MBytes       
[  5] 230.00-231.00 sec   797 MBytes  6.69 Gbits/sec    0   1.98 MBytes       
[  5] 231.00-232.00 sec   856 MBytes  7.18 Gbits/sec    0   1.98 MBytes       
[  5] 232.00-233.00 sec   824 MBytes  6.92 Gbits/sec    0   1.98 MBytes       
[  5] 233.00-234.00 sec   834 MBytes  6.99 Gbits/sec    0   1.98 MBytes       
[  5] 234.00-235.00 sec   808 MBytes  6.77 Gbits/sec    0   1.98 MBytes       
[  5] 235.00-236.00 sec   629 MBytes  5.28 Gbits/sec    0   1.98 MBytes       
[  5] 236.00-237.00 sec   836 MBytes  7.01 Gbits/sec    0   1.98 MBytes       
[  5] 237.00-238.00 sec   838 MBytes  7.03 Gbits/sec    0   1.98 MBytes       
[  5] 238.00-239.00 sec   720 MBytes  6.04 Gbits/sec    0   1.98 MBytes       
[  5] 239.00-240.00 sec   807 MBytes  6.77 Gbits/sec    0   1.98 MBytes       
[  5] 240.00-241.00 sec   740 MBytes  6.21 Gbits/sec    0   1.98 MBytes       
[  5] 241.00-242.00 sec   736 MBytes  6.18 Gbits/sec    0   1.98 MBytes       
[  5] 242.00-243.00 sec   809 MBytes  6.79 Gbits/sec    0   1.98 MBytes       
[  5] 243.00-244.00 sec   732 MBytes  6.14 Gbits/sec    0   1.98 MBytes       
